"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"SL/000543","1","Support to the Accountancy Profession (G)","2005-10-05","start-actual","2008-10-05","end-actual","World Bank","DAC","Sierra Leone","SLE","240","Banking and Financial Services","24010","Financial policy and administrative management","Completion","2005","2008","214246.0","214246.0"
"SL/000546","1","Artisanal Fisheries Development Project (AFDEP)","2003-06-09","start-actual","2011-10-31","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","313","Fishing","31320","Fishery development","Completion","2003","2011","17286470.0","16560585.0"
"SL/000551","1","Freetown -Lungi Road Study","2005-05-14","start-actual","2008-08-14","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","210","Transport and Storage","21040","Water transport","Completion","2005","2008","1625562.0","1625131.0"
"SL/000552","0","Nerica Rice Dissemination","2005-03-19","start-actual","2012-12-31","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2005","2012","4693058.0","4318734.0"
"SL/000555","1","Agricultural Sector Rehabilitation","2005-04-03","start-actual","2013-12-30","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2005","2013","26130111.0","15330998.0"
"SL/000561","1","Oil Palm Production and Processing","2005-06-22","start-actual","2013-12-31","end-actual","Islamic Development Bank (IDB)","DAC","Sierra Leone","SLE","321","Industry","32120","Industrial development","Implementation","2005","2013","2612979.0","1506538.0"
"SL/000562","1","Rural Infrastructure Development","2004-11-30","start-actual","2011-12-31","end-actual","Islamic Development Bank (IDB)","DAC","Sierra Leone","SLE","998|210","Unallocated / Unspecified|Transport and Storage","99810|21020","Sectors not specified|Road transport","Completion","2004","2011","13328656.0","12742463.0"
"SL/000565","1","SL┬áStandard┬áBureau","2003-07-23","start-actual","2009-12-30","end-actual","Arab Bank for Economic Development in Africa (BADEA)","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Implementation","2003","2009","490716.0","254690.0"
"SL/000566","1","Rehabilitation of Community Based Poverty Reduction","2004-02-20","start-actual","2011-12-31","end-actual","IFAD","DAC","Sierra Leone","SLE","998|210","Unallocated / Unspecified|Transport and Storage","99810|21020","Sectors not specified|Road transport","Completion","2004","2011","4005342.0","3879713.0"
"SL/000569","1","Tokeh-Lumley Road (21Km)","2004-08-01","start-actual","2012-07-31","end-actual","OPEC|Kuwait Fund","KWT|DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2004","2012","12146749.0","12146747.0"
"SL/000570","1","Hillside Bypass Road (3.7km)","2004-06-30","start-actual","2013-12-31","end-actual","Arab Bank for Economic Development in Africa (BADEA)|OPEC","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2004","2013","11259536.0","11259536.0"
"SL/000590","1","Support to the NAO","2004-12-15","start-actual","2009-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","240","Banking and Financial Services","24010","Financial policy and administrative management","Completion","2004","2009","4582457.0","4538284.0"
"SL/000646","1","MLGCD, MIF","2006-01-01","start-actual","2006-12-01","end-actual","UNDP|International Monetary Fund (IMF)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2006","2006","",""
"SL/000647","1","MLGCD","2006-01-01","start-actual","2006-12-01","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2006","2006","",""
"SL/000656","1","UNCT Support to Transition Initiatives in Sierra Leone","2003-01-01","start-actual","2009-12-31","end-actual","Swedish International Development Agency (SIDA)|Government of Norway","SWE|NOR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2003","2009","361263.0","360170.0"
"SL/000657","1","Arms for Development (phase I and II)","2003-10-01","start-actual","2009-12-31","end-actual","Government of Japan","JPN","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2003","2009","397104.0","397104.0"
"SL/000658","1","Small Arms Cont. MRU","2004-01-01","start-actual","2007-12-01","end-actual","Government of Japan","JPN","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2004","2007","",""
"SL/000659","1","National Programme of Action for Adaptation to climate change","2004-11-15","start-actual","2007-12-31","end-actual","Global Environment Facility","DAC","Sierra Leone","SLE","410","General environmental protection","41005","General environmental protection,purpose unspecified","","2004","2007","186226.0","207744.0"
"SL/000660","1","Implementing Cadastre System - Database Management","2005-01-01","start-actual","2008-12-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2005","2008","",""
"SL/000661","1","Halon Sector project preparation","2006-01-01","start-actual","2007-12-01","end-actual","Montreal Protocol","DAC","Sierra Leone","SLE","410","General environmental protection","41020","Biosphere protection","Completion","2006","2007","22852.0","22852.0"
"SL/000662","1","Capacity building for Sustainable Land Management","2005-01-01","start-actual","2013-12-31","end-actual","UNDP|Global Environment Facility","DAC","Sierra Leone","SLE","312","Forestry","31210","Forestry policy and administrative management","Implementation","2005","2013","244886.0","201116.0"
"SL/000670","1","National Framework  Convention  on Climate change","2002-02-01","start-actual","2007-12-31","end-actual","Global Environment Facility","DAC","Sierra Leone","SLE","410","General environmental protection","41005","General environmental protection,purpose unspecified","","2002","2007","",""
"SL/000673","1","Capacity building for communities involvement in development project","2006-06-22","start-actual","2009-12-31","end-actual","Germany","DEU","Sierra Leone","SLE","430","Other","43040","Rural development","Completion","2006","2009","287185.0","287185.0"
"SL/000684","1","Resettlement of Liberian Refugees","2005-10-01","start-actual","2011-09-30","end-actual","International Organisation for Migration (IOM)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2005","2011","1041198.0","854565.0"
"SL/000692","1","PROGRAMME COORDINATION AND ASSISTANCE (PCA)","2006-01-01","start-actual","2010-12-31","end-actual","UNFPA","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2006","2010","274525.0","274525.0"
"SL/000704","1","Country Programme 10584.0 inc school feeding and mother and child nutrition","2006-12-31","start-actual","2007-12-30","end-actual","World Food Programme (WFP)","DAC","Sierra Leone","SLE","130|122","Population Policies / Programmes and Reproductive Health|Basic health","13020|12240","Reproductive health care|Basic nutrition","","2006","2007","",""
"SL/000709","1","Protracted Relief Recovery Operations 10554.0 inc food for training, school feding and food for mothers and children","2007-06-30","start-actual","2007-12-29","end-actual","World Food Programme (WFP)","DAC","Sierra Leone","SLE","998|112|998|130|130","Unallocated / Unspecified|Basic education|Unallocated / Unspecified|Population Policies / Programmes and Reproductive Health|Population Policies / Programmes and Reproductive Health","99810|11230|99810|13040|13020","Sectors not specified|Basic life skills for youth and adults|Sectors not specified|STD control including HIV/AIDS|Reproductive health care","","2007","2007","7687510.0","4024399.0"
"SL/000711","1","Rehabilitation & Resettlement Programme","2003-06-02","start-actual","2008-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16030","Housing policy and administrative management","Completion","2003","2008","15243195.0","14091760.0"
"SL/000714","1","SUPPORT TO BASIC/NON-FORMAL EDUC. & VST - Rehabilitation of Basic Education","2003-08-24","start-actual","2011-06-30","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","112|112","Basic education|Basic education","11220|11230","Primary education|Basic life skills for youth and adults","Completion","2003","2011","69720337.0","29609319.0"
"SL/000715","1","Technical Cooperation Facility","2004-05-18","start-actual","2009-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2004","2009","2125791.0","1921767.0"
"SL/000716","1","Victims Justice and Legacy Project","2005-12-28","start-actual","2009-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2005","2009","786901.0","866425.0"
"SL/000719","1","Water Supply and Sanitation Study","2004-06-29","start-actual","2010-04-21","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","140","Water Supply and Sanitation","14000","Water Supply and Sanitation, combination of purposes","Completion","2004","2010","1417194.0","936085.0"
"SL/000720","1","MATOTOKA-SEFADU ROAD STUDY","2007-01-13","start-actual","2013-12-30","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2007","2013","7961529.0","7429894.0"
"SL/000722","1","Social Action Support Project","2004-04-22","start-actual","2011-06-30","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2004","2011","19347727.0","17662228.0"
"SL/000724","1","Justice Sector Development Programme","2005-08-03","start-actual","2011-07-29","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2005","2011","49661186.0","50134534.0"
"SL/000728","1","Support to the Development Asssitance Coordination Office (DACO) and Monitoring and Evaluation for the Sierra Leone Poverty Reduction Strategy Paper (PRSP)","2006-01-19","start-actual","2008-12-31","end-actual","UNDP|Department for International Development (DFID)|European Union (EU)","GBR|DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2006","2008","3912835.0","2303247.0"
"SL/000729","1","Decentralisation Capacity building Programme","2006-03-01","start-actual","2011-05-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2006","2011","14779844.0","12013679.0"
"SL/000730","1","Enhancing the interaction betweeen Civil Society and the State to improve poor people's lives (ENCISS)","2005-03-21","start-actual","2012-06-06","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2005","2012","5455572.0","4183932.0"
"SL/000732","1","Governance Reform Secretariat Programme Phase I & II","2001-08-08","start-actual","2008-02-28","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2001","2008","9933270.0","1874666.0"
"SL/000733","1","Local Government Elections","2003-06-01","start-actual","2007-12-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2003","2007","","670462.0"
"SL/000735","1","Sierra Leone Justice Sector Infrastructure Programme","2007-07-17","start-actual","2009-12-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2007","2009","2094796.0","772660.0"
"SL/000736","1","Support for the Public Expenditure tracking Survey (PETS (2007 & 2008)","2007-11-29","start-actual","2008-12-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15110","Economic and development policy/planning","Completion","2007","2008","565594.0","351044.0"
"SL/000737","1","Sierra Leone Budget Support Programme 2006","2006-07-03","start-actual","2006-10-26","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2006","2006","23666018.0",""
"SL/000738","1","Technical Assitance Support to the Ministry of Finance","2004-08-23","start-actual","2007-12-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2004","2007","724309.0","724309.0"
"SL/000739","1","Sierra Leone Health Programme","2009-02-16","start-actual","2013-02-16","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2009","2013","59622288.0","59823353.0"
"SL/000741","1","Support for Ministry of Trade & Industry Intiatives","2005-06-08","start-actual","2008-12-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2008","578559.0","173747.0"
"SL/000742","1","FIAS Administrative Barriers","2006-06-01","start-actual","2010-03-30","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","250","Business and Other Services","25010","Business support services and institutions","Completion","2006","2010","1744579.0","1744579.0"
"SL/000743","1","Private Sector Development Strategy Programme","2006-03-29","start-actual","2010-08-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2010","8852055.0","8852055.0"
"SL/000748","1","Support for National Revenue Authority","2005-11-01","start-actual","2018-06-30","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15121","Public sector financial management","Implementation","2005","2018","25872562.0","25872562.0"
"SL/000749","1","Support for National Commission for Privatisation","2006-11-13","start-actual","2010-10-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2010","2614441.0","2614441.0"
"SL/000750","1","Parliamentary Committees Stregthening Project (PCSP)  ","2004-08-05","start-actual","2007-10-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Completion","2004","2007","2529048.0","374730.0"
"SL/000753","1","ODI Fellows in the Ministry of Health and the Development Assitance Coordination Unit","2006-12-14","start-actual","2008-09-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2006","2008","344892.0","235520.0"
"SL/000755","1","Suport to the Audit Service Sierra Leone","2004-11-22","start-actual","2016-06-30","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","240","Banking and Financial Services","24010","Financial policy and administrative management","Implementation","2004","2016","6128218.0","6119302.0"
"SL/000757","1","Sierra Leone SPW (Student PArtnership worldwide) Youth Reproductive Health(Now call Restless Development)","2007-11-23","start-actual","2012-09-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2007","2012","7127029.0","6415624.0"
"SL/000758","1","Youth  Empowerment","2004-04-01","start-actual","2007-09-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2004","2007","9196539.0","502808.0"
"SL/000762","1","Public Financial M'ment Advice","2004-12-01","start-actual","2009-06-30","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15120","Public sector financial management","Completion","2004","2009","115898.0","115898.0"
